license_number,provider_name,doing_business_as,license_type,status,address,city,state,zip,county
,,,Home and Community Based Services,Active,,Minneapolis,MN,55401-2503,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55401-5508,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55401,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55401-1040,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55401-5505,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55402-1640,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55402-2550,Hennepin
,,,Home and Community Based Services,Temp Immediate Suspension: Under Appeal as of 09/29/2025,,Minneapolis,MN,55402-4622,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55402-5137,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55402-3106,Hennepin
,,,Child Caring-Placing Agency,Active,,Minneapolis,MN,55403-3466,Hennepin
,,,Child Care Center,Conditional as of 08/23/2025,,Minneapolis,MN,55403,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55403-1720,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55403-2513,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55403-2033,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55403-1205,Hennepin
,,,Substance Use Disorder Treatment,Closed as of 09/05/2025,,Minneapolis,MN,55403-3724,Hennepin
,,,Home and Community Based Services,Closed as of 10/29/2025,,Minneapolis,MN,55403-3747,Hennepin
,,,Substance Use Disorder Treatment,Conditional as of 09/24/2024,,Minneapolis,MN,55403-2723,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55403-2535,Hennepin
,,,Intensive Residential Treatment Services and Residential Crisis Stabilization,Active,,Minneapolis,MN,55403-3467,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55403-3283,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55403-2666,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55403-2725,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55403-1502,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55403-1264,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55403-2601,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55403-2405,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-4267,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55404,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55404-2101,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3490,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-1551,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-1808,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-6607,Hennepin
,,,Substance Use Disorder Treatment,Closed as of 08/28/2025,,Minneapolis,MN,55404-3315,Hennepin
,,,Detox Services,Active,,Minneapolis,MN,55404-2592,Hennepin
,,,Withdrawal Management,Active,,Minneapolis,MN,55404-1901,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-2575,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3831,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3331,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55404-1437,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55404-4025,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55404-1903,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-2977,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3833,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-2197,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-2505,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-6605,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55404-3132,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55404-3626,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-0000,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55404-3374,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-5562,Hennepin
,,,Home and Community Based Services,Closed as of 10/15/2025,,Minneapolis,MN,55404-3706,Hennepin
,,,Home and Community Based Services,Denied as of 04/11/2025,,Minneapolis,MN,55404-3869,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-4118,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-2910,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-2567,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-2416,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3472,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-4218,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-7703,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3881,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-2250,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-2974,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3324,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-7502,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55404-2454,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55404-2713,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-2552,Hennepin
,,,Intensive Residential Treatment Services and Residential Crisis Stabilization,Active,,Minneapolis,MN,55404-3378,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-6606,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3488,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-4228,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55404-3713,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3844,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3939,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55404-4435,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-5515,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-1411,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55404-4080,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-2202,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3714,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55404-1507,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-1579,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3879,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55404-2533,Hennepin
,,,Mental Health Clinic,Active,,Minneapolis,MN,55404-3382,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55404-3758,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3703,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55404-3107,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-2558,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55404-2212,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55404-1812,Hennepin
,,,Withdrawal Management,Active,,Minneapolis,MN,55404-1449,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3749,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55404-1904,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3824,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3157,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-6610,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3927,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55404-3672,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55405-2145,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55405-6100,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55405-2648,Hennepin
,,,Children's Residential Facilities,Active,,Minneapolis,MN,55405,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55405-2759,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55405-6000,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55405-1227,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55405-2537,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55405-3564,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55405-1502,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55405-1263,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55405-1947,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55405-2455,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55405-2605,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55405-1803,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55405-1177,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55405-2424,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55405-2602,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55405-2009,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55405-2693,Hennepin
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55405-1216,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55406-4504,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-1963,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-1357,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-4600,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55406,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-1185,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-4420,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55406-4002,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55406-3503,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-4529,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55406-2248,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-1168,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-2638,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-1716,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55406-1923,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55406-2150,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-2158,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-1084,Hennepin
,,,Mental Health Clinic,Active,,Minneapolis,MN,55406-1227,Hennepin
,,,Adult Foster Care,Active,,Minneapolis,MN,55406-2513,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55406-0000,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55406-2401,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55406-4519,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-2151,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-1505,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-4614,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-2989,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55406-1245,Hennepin
,,,Child Foster Residence Setting,Active,,Minneapolis,MN,55406-2515,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-3482,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-1201,Hennepin
,,,Child Care Center,Pending Reopening as of 10/22/2025,,Minneapolis,MN,55406-2632,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55406-2029,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55406-2820,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-1574,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55406-3745,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55406-3860,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55406-1917,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-2625,Hennepin
,,,Adult Day Care Services,Active,,Minneapolis,MN,55406-3119,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-2505,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-1500,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-1195,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55406-3612,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55406-3801,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55406-3661,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55406-1235,Hennepin
